TEST1,12,(-10.0, 16.4, 0.5),4
365,0.06680156,0.06739814,0.06739814,0.06745704,0.0694552
750,0.1814939,0.06740418,0.06739814,0.06739663,0.06739663
1090,0.06739663,0.06739361,0.06739814,0.07048222,0.06432313
1230,0.0683285,0.06614608,0.06739814,0.06949447,0.06529728
TEST2,48,(-10.0, 16.4, 0.5),4
365,0.06679855,0.0673347,0.067451,0.0673483,0.06816841
750,0.06736642,0.06739663,0.06739512,0.06782254,0.06697223
1090,0.06813971,0.06592105,0.06739663,0.0691909,0.06610379
1230,0.06632883,0.06597995,0.06785879,0.066939,0.06738908
TEST3,100,(-10.0, 16.4, 0.5),4
365,0.06739663,0.1601863,0.06740569,0.06819408,0.06659767
750,0.06673058,0.06741022,0.0673921,0.06744798,0.06734377
1090,0.06739663,0.06739663,0.06739814,0.06739512,0.06739814
1230,0.07015448,0.06858978,0.06621405,0.06740871,0.06739059
TEST4,200,(-10.0, 16.4, 0.5),4
365,0.06734226,0.06739814,0.06785124,0.066939,0.06739965
750,0.06441525,0.06739663,0.06739663,0.06739512,0.06739814
1090,0.06739512,0.06739512,0.06739814,0.06739512,0.06739663
1230,0.06673511,0.06894471,0.06603885,0.07004574,0.06454212
TEST5,500,(-10.0, 16.4, 0.5),4
365,0.06636055,0.06739663,0.06739663,0.06739814,0.06739512
750,0.06744345,0.06734981,0.06739512,0.06871212,0.06608265
1090,0.06740871,0.06740418,0.06739361,0.06738757,0.06795847
1230,0.06740871,0.06738908,0.06764735,0.06888581,0.06586818
TEST6,1000,(-10.0, 16.4, 0.5),4
365,0.07657637,0.07709592,0.07456009,0.06739965,0.06856713
750,0.06740418,0.06756277,0.06810648,0.06652065,0.06740267
1090,0.06739361,0.06739361,0.06880425,0.06599052,0.07235955
1230,0.06736039,0.06739814,0.06740116,0.0673921,0.091154

