TEST1,12,(-10.0, 16.4, 0.5),4
365,0.06740431,0.06743149,0.01759831,0.06741035,0.06739827
750,0.06740884,0.06739374,0.06957012,0.0118183,0.06740733
1090,0.06739676,0.02349009,0.06743149,0.06737259,0.02203716
1230,0.06848721,0.0671823,0.06715813,0.06676846,0.01021886
TEST2,48,(-10.0, 16.4, 0.5),4
365,0.06765049,0.02224256,0.06740733,0.06761122,0.02222595
750,0.02444009,0.06878626,0.02123517,0.06903093,0.06577467
1090,0.02461226,0.06740582,0.06739676,0.02339947,0.06740582
1230,0.0206386,0.06836487,0.06643468,0.0674028,0.02021268
TEST3,100,(-10.0, 16.4, 0.5),4
365,0.02841375,0.07130699,0.06348955,0.06858689,0.06621417
750,0.02502307,0.06740431,0.06739978,0.02254463,0.06774564
1090,0.06739072,0.06747227,0.06788912,0.06682888,0.06739827
1230,0.02447482,0.06739978,0.02252952,0.06763539,0.0680764
TEST4,200,(-10.0, 16.4, 0.5),4
365,0.06757951,0.06751909,0.06709016,0.0693768,0.06542277
750,0.06793594,0.06686059,0.06739374,0.06982385,0.06577467
1090,0.06739676,0.06881193,0.06597403,0.06739827,0.0674028
1230,0.06740733,0.06739072,0.02547315,0.06776377,0.06703579
TEST5,500,(-10.0, 16.4, 0.5),4
365,0.0674179,0.06737562,0.06739676,0.06739676,0.06739525
750,0.06739525,0.06739676,0.06739676,0.06739676,0.06739827
1090,0.06486093,0.06739676,0.06829993,0.06808244,0.06623834
1230,0.06469781,0.09330639,0.06741035,0.06775924,0.06702371
TEST6,1000,(-10.0, 16.4, 0.5),4
365,0.1005922,0.09921025,0.09915588,0.09798085,0.1018307
750,0.07416452,0.07342295,0.07367518,0.07250468,0.07497859
1090,0.09143207,0.09310249,0.08792812,0.09205735,0.09129464
1230,0.06743149,0.06800391,0.0667594,0.06739374,0.06739525
TEST7,2000,(-10.0, 16.4, 0.5),4
365,0.1960916,0.1913446,0.1914413,0.207641,0.1890897
750,0.1444671,0.1414692,0.1406264,0.1605642,0.1413574
1090,0.225851,0.2102312,0.2113187,0.2076743,0.2660408
1230,0.08302107,0.08306941,0.0818113,0.08272958,0.08284437
TEST8,5000,(-10.0, 16.4, 0.5),4
365,0.844521,0.8351541,0.8827459,0.8469059,0.828128
750,4,4,4,4,4
1090,4,4,4,4,4
1230,4,4,4,4,4
TEST9,8000,(-10.0, 16.4, 0.5),4
365,4,4,4,4,4
750,4,4,4,4,4
1090,4,4,4,4,4
1230,4,4,4,4,4

