TEST1,12,(-10.0, 16.4, 0.5),4
365,0.06585011,0.0673997,0.06739366,0.06739668,0.06808539
750,0.06829079,0.06642555,0.06739819,0.06739517,0.06739064
1090,0.06921813,0.06640289,0.06785129,0.06612499,0.07011829
1230,0.06740575,0.06800383,0.06717315,0.06700249,0.06740725
TEST2,12,(-10.0, 16.4, 0.5),16
365,0.26685,0.2695867,0.2695928,0.2695928,0.2734592
750,0.2742506,0.2642341,0.2695746,0.2695988,0.2695565
1090,0.2692907,0.2695928,0.2714595,0.2805154,0.2567731
1230,0.2695807,0.2695565,0.2695867,0.2697076,0.2694599
TEST3,12,(135.0, 138.0, -43.0),4
365,0.06583954,0.06706139,0.0708085,0.06509495,0.06614462
750,0.06739668,0.06739668,0.06739517,0.06739668,0.06977544
1090,0.06740876,0.06739668,0.06739064,0.06739064,0.06742085
1230,0.06767156,0.0671218,0.06739668,0.06776822,0.06702514
TEST4,12,(135.0, 138.0, -43.0),16
365,0.2765282,0.262603,0.2695928,0.2735498,0.2656478
750,0.2720395,0.267291,0.2723718,0.2666023,0.2768907
1090,0.2725772,0.2666084,0.2695807,0.2715562,0.2676112
1230,0.2695324,0.2830407,0.2561328,0.2696411,0.2695867
TEST5,48,(-10.0, 16.4, 0.5),4
365,0.06739215,0.0676489,0.06823189,0.06630472,0.0676489
750,0.06872275,0.06641195,0.06770328,0.06734533,0.06681067
1090,0.06739668,0.06739819,0.06786488,0.06692848,0.06739366
1230,0.06789055,0.06691338,0.06739668,0.06742085,0.067371
TEST6,48,(-10.0, 16.4, 0.5),16
365,0.2625184,0.2677804,0.2788541,0.2620653,0.2750783
750,0.2653941,0.2737431,0.2738096,0.2612498,0.2695807
1090,0.2744016,0.2710185,0.2708796,0.26743,0.2647839
1230,0.2702694,0.2689041,0.2707346,0.268451,0.269623
TEST7,48,(135.0, 138.0, -43.0),4
365,0.06739668,0.06892664,0.06585766,0.06739668,0.06811862
750,0.06740725,0.06770026,0.06709009,0.06796759,0.06681823
1090,0.06718071,0.06752204,0.06730455,0.07014849,0.06460258
1230,0.0673846,0.06739668,0.06739668,0.06739668,0.06739819
TEST8,48,(135.0, 138.0, -43.0),16
365,0.269623,0.2698404,0.2708977,0.2697136,0.2685778
750,0.269629,0.2695807,0.2695505,0.269629,0.269913
1090,0.2695807,0.2695867,0.2741781,0.2650316,0.2736888
1230,0.2695928,0.2695807,0.2695928,0.2695807,0.2695988
TEST9,100,(-10.0, 16.4, 0.5),4
365,0.06420083,0.06739517,0.06739215,0.06740272,0.06739517
750,0.06739517,0.06784827,0.067004,0.06733627,0.06840256
1090,0.06739517,0.07052305,0.06427334,0.06739366,0.06739668
1230,0.0673997,0.06739366,0.06771083,0.06707196,0.0673997
TEST10,48,(-10.0, 16.4, 0.5),16
365,0.269629,0.2695867,0.2695867,0.2720516,0.2671219
750,0.2696351,0.2695444,0.2713025,0.2680643,0.2715683
1090,0.2809866,0.2644396,0.2726255,0.2603315,0.2695867
1230,0.2695867,0.2695928,0.2695807,0.2731692,0.2659982
TEST11,48,(135.0, 138.0, -43.0),4
365,0.06739668,0.06742538,0.06736647,0.06739819,0.06739517
750,0.06511609,0.069857,0.0649273,0.06787696,0.0669164
1090,0.06820773,0.06658564,0.06823491,0.06655996,0.06739668
1230,0.06739668,0.06739668,0.06739517,0.0673997,0.06740575
TEST12,48,(135.0, 138.0, -43.0),16
365,0.2670192,0.2739969,0.264953,0.2695565,0.2695928
750,0.2695928,0.2741902,0.2650256,0.2695928,0.2705533
1090,0.2695807,0.2759965,0.263485,0.2692847,0.2740452
1230,0.2695867,0.2695867,0.2695928,0.2695807,0.2698223
TEST13,200,(-10.0, 16.4, 0.5),4
365,0.06599208,0.06964102,0.06583652,0.06671251,0.06882092
750,0.06660527,0.0682334,0.06809747,0.06585011,0.06790566
1090,0.06812919,0.06666719,0.06860645,0.06618389,0.06739819
1230,0.06740876,0.06739668,0.06739668,0.0673846,0.06739668
TEST14,48,(-10.0, 16.4, 0.5),16
365,0.2695384,0.2801711,0.2662096,0.2624218,0.2695807
750,0.2696351,0.2695022,0.269629,0.2707406,0.2684268
1090,0.2644939,0.2695928,0.2696773,0.2694961,0.2695867
1230,0.2689222,0.2695867,0.2736767,0.2659861,0.2691034
TEST15,48,(135.0, 138.0, -43.0),4
365,0.06669589,0.06759907,0.06719732,0.06739517,0.06738611
750,0.06713691,0.06828022,0.06987362,0.06404527,0.06739668
1090,0.06739668,0.06739819,0.0682621,0.06689072,0.06839652
1230,0.06818658,0.06456634,0.06739819,0.06821679,0.06657507
TEST16,48,(135.0, 138.0, -43.0),16
365,0.2695928,0.2695444,0.2697136,0.2695022,0.2702029
750,0.2689826,0.2704446,0.2687289,0.2695807,0.2695867
1090,0.267877,0.2697438,0.2737311,0.2652914,0.2695746
1230,0.2738398,0.2695988,0.2737794,0.269768,0.2789809

